Blues123Time	Blue's 123 Time Activities
lol	Lands of Lore: The Throne of Chaos
longbow	Conquests of the Longbow
loom	Loom
lost	Pajama Sam's Lost & Found
lostintime	Lost in Time
lsl1	Leisure Suit Larry in the Land of the Lounge Lizards
lsl1sci Leisure Suit Larry 1
lsl2	Leisure Suit Larry 2
lsl3	Leisure Suit Larry 3
lsl5	Leisure Suit Larry 5
lsl6	Leisure Suit Larry 6
lsl1sci	Leisure Suit Larry 1 (VGA) In the Land of the Lounge Lizards
lsl2	Leisure Suit Larry 2 Looking For Love (In Several Wrong Places)
lsl3	Leisure Suit Larry 3 Passionate Patti in Pursuit of the Pulsating Pectorals!
lsl5	Leisure Suit Larry 5 Passionate Patti Does a Little Undercover Work!
lsl6	Leisure Suit Larry 6 (VGA): Shape Up Or Slip Out
lure	Lure of the Temptress
manhole	The Manhole
maniac	Maniac Mansion
maze	Freddi Fish and Luther's Maze Madness
mh1	Manhunter 1: New York
mh2	Manhunter 2: San Francisco
mickey	Mickey's Space Adventure
mixedup	Mixed-Up Mother Goose
monkey	The Secret of Monkey Island
monkey2	Monkey Island 2: LeChuck's Revenge
mortevielle	Mortville Manor
mothergoose	Mixed-up Mother Goose
mustard	SPY Fox in Hold the Mustard
neverhood	The Neverhood
newkid	The New Kid on the Block
nippon	Nippon Safes Inc.
nippon	Nippon Safes Inc.
pajama	Pajama Sam 1: No Need to Hide When It's Dark Outside
pajama2	Pajama Sam 2: Thunder and Lightning Aren't so Frightening
pajama3	Pajama Sam 3: You Are What You Eat From Your Head to Your Feet
pegasus	The Journeyman Project: Pegasus Prime
pepper	Pepper's Adventures in Time
pjgames	Pajama Sam: Games to Play on Any Day
pn	Personal Nightmare
pq1	Police Quest I: In Pursuit of the Death Angel
pq1	Police Quest: In Pursuit of the Death Angel
pq1sci	Police Quest 1
pq1sci	Police Quest
pq2	Police Quest 2
pq2	Police Quest 2: Vengeance
pq3	Police Quest 3
pq3	Police Quest 3: The Kindred
princess	The Princess and the Crab
puttcircus	Putt-Putt Joins the Circus
puttmoon	Putt-Putt Goes to the Moon
puttputt	Putt-Putt Joins the Parade
puttrace	Putt-Putt Enters the Race
putttime	Putt-Putt Travels Through Time
puttzoo	Putt-Putt Saves the Zoo
puzzle	Simon the Sorcerer's Puzzle Pack - NoPatience
qfg1	Quest for Glory 1/Hero's Quest
qfg1vga	Quest for Glory 1
qfg1vga	Quest for Glory: So You Want To Be A Hero
qfg2	Quest for Glory 2
qfg2	Quest for Glory 2: Trial by Fire
qfg3	Quest for Glory 3
qfg3	Quest for Glory 3: Wages of War
queen	Flight of the Amazon Queen
readtime	Blue's Reading Time Activities
ringworld	Ringworld: Revenge Of The Patriarch
ringworld2	Return to Ringworld
rodney	Rodney's Funscreen
rtz	Return to Zork
ruff	Ruff's Bone
samnmax	Sam & Max Hit the Road
seussabc	Dr. Seuss's ABC
sfinx	Sfinx
sheila	Sheila Rae, the Brave
simon1	Simon the Sorcerer 1
simon2	Simon the Sorcerer 2
sky	Beneath a Steel Sky
slater	Slater & Charlie Go Camping
sleepingcub	Sleeping Cub's Test of Courage
socks	Pajama Sam's Sock Works
soltys	Soltys
spyfox	SPY Fox 1: Dry Cereal
spyfox2	SPY Fox 2: Some Assembly Required
spyozon	SPY Fox 3: Operation Ozone
sq1	Space Quest I: The Sarien Encounter
sq1	Space Quest 1: The Sarien Encounter
sq1sci	Space Quest I
sq1sci	Space Quest 1
sq2	Space Quest II: Vohaul's Revenge
sq2	Space Quest 2: Vohaul's Revenge
sq3	Space Quest III
sq3	Space Quest 3
sq3	Space Quest 3: The Pirates of Pestulon
sq4	Space Quest IV
sq4	Space Quest 4
sq4	Space Quest 4: Roger Wilco and the Time Rippers
sq5	Space Quest V
sq5	Space Quest 5
sq5	Space Quest 5: The Next Mutation
stellaluna	Stellaluna
swampy	Simon the Sorcerer's Puzzle Pack - Swampy Adventures
sword1	Broken Sword: The Shadow of the Templars
sword2	Broken Sword II: The Smoking Mirror
t7g	The 7th Guest
teenagent	TeenAgent
tentacle	Day of the Tentacle
thinker1	Big Thinkers First Grade
thinkerk	Big Thinkers Kindergarten
toltecs	3 Skulls of the Toltecs
tony	Tony Tough and the Night of Roasted Moths
toon	Toonstruck
tortoise	Aesop's Fables: The Tortoise and the Hare
touche	Touche: The Adventures of the Fifth Musketeer
troll	Troll's Tale
tucker	Bud Tucker in Double Trouble
urban	Urban Runner
voyeur	Voyeur
water	Freddi Fish and Luther's Water Worries
waxworks	Waxworks
ween	Ween: The Prophecy
winnie	Winnie the Pooh in the Hundred Acre Wood
woodruff	The Bizarre Adventures of Woodruff and the Schnibble
zak	Zak McKracken and the Alien Mindbenders
zgi	Zork: Grand Inquisitor
znemesis	Zork Nemesis: The Forbidden Lands
